word_index,emoji,unicode_codepoint
1087,🆓,U+1F193
1088,🆔,U+1F194
1089,🆕,U+1F195
1090,🆖,U+1F196
1091,🆗,U+1F197
1092,🆘,U+1F198
1093,🆙,U+1F199
1094,🆚,U+1F19A
1095,🈁,U+1F201
1096,🈂,U+1F202
1097,🈚,U+1F21A
1098,🈯,U+1F22F
1099,🈲,U+1F232
1100,🈳,U+1F233
1101,🈴,U+1F234
1102,🈵,U+1F235
1103,🈶,U+1F236
1104,🈷,U+1F237
1105,🈸,U+1F238
1106,🈹,U+1F239
1107,🈺,U+1F23A
1108,🉐,U+1F250
1109,🉑,U+1F251
1110,🌀,U+1F300
1111,🌁,U+1F301
1112,🌂,U+1F302
1113,🌃,U+1F303
1114,🌄,U+1F304
1115,🌅,U+1F305
1116,🌆,U+1F306
1117,🌇,U+1F307
1118,🌈,U+1F308
1119,🌉,U+1F309
1120,🌊,U+1F30A
1121,🌋,U+1F30B
1122,🌌,U+1F30C
1123,🌍,U+1F30D
1124,🌎,U+1F30E
1125,🌏,U+1F30F
1126,🌐,U+1F310
1127,🌑,U+1F311
1128,🌒,U+1F312
1129,🌓,U+1F313
1130,🌔,U+1F314
1131,🌕,U+1F315
1132,🌖,U+1F316
1133,🌗,U+1F317
1134,🌘,U+1F318
1135,🌙,U+1F319
1136,🌚,U+1F31A
1137,🌛,U+1F31B
1138,🌜,U+1F31C
1139,🌝,U+1F31D
1140,🌞,U+1F31E
1141,🌟,U+1F31F
1142,🌠,U+1F320
1143,🌡,U+1F321
1144,🌢,U+1F322
1145,🌣,U+1F323
1146,🌤,U+1F324
1147,🌥,U+1F325
1148,🌦,U+1F326
1149,🌧,U+1F327
1150,🌨,U+1F328
1151,🌩,U+1F329
1152,🌪,U+1F32A
1153,🌫,U+1F32B
1154,🌬,U+1F32C
1155,🌭,U+1F32D
1156,🌮,U+1F32E
1157,🌯,U+1F32F
1158,🌰,U+1F330
1159,🌱,U+1F331
1160,🌲,U+1F332
1161,🌳,U+1F333
1162,🌴,U+1F334
1163,🌵,U+1F335
1164,🌶,U+1F336
1165,🌷,U+1F337
1166,🌸,U+1F338
1167,🌹,U+1F339
1168,🌺,U+1F33A
1169,🌻,U+1F33B
1170,🌼,U+1F33C
1171,🌽,U+1F33D
1172,🌾,U+1F33E
1173,🌿,U+1F33F
1174,🍀,U+1F340
1175,🍁,U+1F341
1176,🍂,U+1F342
1177,🍃,U+1F343
1178,🍄,U+1F344
1179,🍅,U+1F345
1180,🍆,U+1F346
1181,🍇,U+1F347
1182,🍈,U+1F348
1183,🍉,U+1F349
1184,🍊,U+1F34A
1185,🍋,U+1F34B
1186,🍌,U+1F34C
1187,🍍,U+1F34D
1188,🍎,U+1F34E
1189,🍏,U+1F34F
1190,🍐,U+1F350
1191,🍑,U+1F351
1192,🍒,U+1F352
1193,🍓,U+1F353
1194,🍔,U+1F354
1195,🍕,U+1F355
1196,🍖,U+1F356
1197,🍗,U+1F357
1198,🍘,U+1F358
1199,🍙,U+1F359
1200,🍚,U+1F35A
1201,🍛,U+1F35B
1202,🍜,U+1F35C
1203,🍝,U+1F35D
1204,🍞,U+1F35E
1205,🍟,U+1F35F
1206,🍠,U+1F360
1207,🍡,U+1F361
1208,🍢,U+1F362
1209,🍣,U+1F363
1210,🍤,U+1F364
1211,🍥,U+1F365
1212,🍦,U+1F366
1213,🍧,U+1F367
1214,🍨,U+1F368
1215,🍩,U+1F369
1216,🍪,U+1F36A
1217,🍫,U+1F36B
1218,🍬,U+1F36C
1219,🍭,U+1F36D
1220,🍮,U+1F36E
1221,🍯,U+1F36F
1222,🍰,U+1F370
1223,🍱,U+1F371
1224,🍲,U+1F372
1225,🍳,U+1F373
1226,🍴,U+1F374
1227,🍵,U+1F375
1228,🍶,U+1F376
1229,🍷,U+1F377
1230,🍸,U+1F378
1231,🍹,U+1F379
1232,🍺,U+1F37A
1233,🍻,U+1F37B
1234,🍼,U+1F37C
1235,🍽,U+1F37D
1236,🍾,U+1F37E
1237,🍿,U+1F37F
1238,🎀,U+1F380
1239,🎁,U+1F381
1240,🎂,U+1F382
